Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
25–26 Sep,YouGov/The Sun,1760,32%,41%,9%,9%,3%,5% BNP on 1%,9%,25–26 Sep 2012,2012-09-26
25 Sep,Opinium,1969,29%,39%,10%,10%,4%,8%,10%,25 Sep 2012,2012-09-25
24–25 Sep,YouGov/The Sun,1764,31%,44%,9%,9%,3%,4% BNP on 1%,13%,24–25 Sep 2012,2012-09-25
23–24 Sep,YouGov/The Sun,1739,32%,43%,9%,7%,3%,6% BNP on 1%,11%,23–24 Sep 2012,2012-09-24
20–21 Sep,YouGov/The Sunday Times,1608,34%,43%,8%,8%,2%,5%,9%,20–21 Sep 2012,2012-09-21
19–21 Sep,TNS BMRB Archived 14 December 2014 at the Wayback Machine,1140,28%,44%,8%,7%,5%,8%,16%,19–21 Sep 2012,2012-09-21
18–21 Sep,Opinium,1964,30%,42%,8%,10%,4%,6%,12%,18–21 Sep 2012,2012-09-21
19–20 Sep,YouGov/The Sun,1906,35%,41%,9%,7%,3%,5% BNP on 2%,6%,19–20 Sep 2012,2012-09-20
18–19 Sep,YouGov/The Sun,1710,33%,45%,10%,7%,2%,4% BNP on 1%,12%,18–19 Sep 2012,2012-09-19
17–18 Sep,YouGov/The Sun,1744,34%,43%,8%,8%,3%,4% BNP on 1%,9%,17–18 Sep 2012,2012-09-18
16–17 Sep,YouGov/The Sun,1731,33%,45%,10%,5%,2%,5% BNP on 1%,12%,16–17 Sep 2012,2012-09-17
15–17 Sep,Ipsos MORI/Evening Standard,1006,30%,41%,13%,4%,8%,4%,11%,15–17 Sep 2012,2012-09-17
13–14 Sep,YouGov/The Sunday Times,1671,34%,44%,9%,7%,3%,4%,10%,13–14 Sep 2012,2012-09-14
12–13 Sep,YouGov/The Sun,1594,34%,43%,8%,7%,3%,5% BNP on 1%,9%,12–13 Sep 2012,2012-09-13
11–12 Sep,YouGov/The Sun,1703,33%,42%,11%,7%,1%,6% BNP on 1%,9%,11–12 Sep 2012,2012-09-12
10–12 Sep,Opinium,1961,32%,40%,10%,9%,3%,6%,8%,10–12 Sep 2012,2012-09-12
10–11 Sep,YouGov/The Sun,1682,31%,44%,9%,8%,3%,5% BNP on 1%,13%,10–11 Sep 2012,2012-09-11
9–10 Sep,YouGov/The Sun,1871,31%,42%,10%,8%,2%,7% BNP on 2%,11%,9–10 Sep 2012,2012-09-10
6–7 Sep,YouGov/The Sunday Times,1860,33%,43%,10%,7%,2%,5%,10%,6–7 Sep 2012,2012-09-07
5–6 Sep,YouGov/The Sun,1311,33%,45%,8%,6%,3%,4% BNP on 1%,12%,5–6 Sep 2012,2012-09-06
4–5 Sep,YouGov/The Sun,1474,33%,45%,8%,7%,2%,6% BNP on 1%,12%,4–5 Sep 2012,2012-09-05
3–4 Sep,YouGov/The Sun,1698,34%,40%,10%,7%,3%,6% BNP on 1%,6%,3–4 Sep 2012,2012-09-04
2–3 Sep,YouGov/The Sun,1716,33%,44%,8%,7%,2%,6% BNP on 2%,11%,2–3 Sep 2012,2012-09-03
30–31 Aug,Opinium,1947,31%,42%,8%,9%,3%,7%,11%,30–31 Aug 2012,2012-08-31
30–31 Aug,YouGov/The Sunday Times,1739,35%,41%,9%,7%,2%,5%,6%,30–31 Aug 2012,2012-08-31
29–30 Aug,YouGov/The Sun,1653,33%,42%,10%,8%,2%,6% BNP on 1%,9%,29–30 Aug 2012,2012-08-30
28–29 Aug,YouGov/The Sun,1763,32%,44%,9%,6%,3%,7% BNP on 1%,12%,28–29 Aug 2012,2012-08-29
27–28 Aug,YouGov/The Sun,1695,32%,44%,10%,8%,3%,5% BNP on 1%,12%,27–28 Aug 2012,2012-08-28
24–26 Aug,ICM/The Guardian[permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][17],1006,34%,39%,15%,4%,2%,7%,5%,24–26 Aug 2012,2012-08-26
22–23 Aug,YouGov/The Sun,1684,32%,44%,10%,7%,3%,5% BNP on 1%,12%,22–23 Aug 2012,2012-08-23
21–22 Aug,YouGov/The Sun,1674,33%,42%,10%,6%,2%,6% BNP on 2%,9%,21–22 Aug 2012,2012-08-22
20–21 Aug,YouGov/The Sun,1743,34%,44%,8%,8%,2%,4% BNP on 1%,10%,20–21 Aug 2012,2012-08-21
19–20 Aug,YouGov/The Sun,1725,34%,44%,8%,7%,3%,4% BNP on 1%,10%,19–20 Aug 2012,2012-08-20
16–17 Aug,YouGov/The Sunday Times,1687,32%,43%,10%,7%,2%,6%,11%,16–17 Aug 2012,2012-08-17
15–16 Aug,YouGov/The Sun,1720,35%,44%,8%,6%,2%,6% BNP on 1%,9%,15–16 Aug 2012,2012-08-16
14–15 Aug,Angus Reid Public Opinion[usurped],2012,30%,41%,11%,9%,3%,6%,11%,14–15 Aug 2012,2012-08-15
14–15 Aug,YouGov/The Sun,1711,34%,43%,10%,6%,2%,5% BNP on 1%,9%,14–15 Aug 2012,2012-08-15
13–14 Aug,YouGov/The Sun,1758,34%,44%,10%,7%,1%,4% BNP on 1%,10%,13–14 Aug 2012,2012-08-14
12–13 Aug,YouGov/The Sun,1742,34%,42%,9%,6%,3%,5% BNP on 1%,8%,12–13 Aug 2012,2012-08-13
11–13 Aug,Ipsos MORI/Evening Standard,1007,32%,42%,11%,4%,4%,7%,10%,11–13 Aug 2012,2012-08-13
9–10 Aug,YouGov/The Sunday Times,1704,34%,42%,8%,8%,2%,5%,8%,9–10 Aug 2012,2012-08-10
8–9 Aug,YouGov/The Sun,1751,33%,42%,9%,9%,3%,5% BNP on 1%,9%,8–9 Aug 2012,2012-08-09
7–9 Aug,Opinium,1960,31%,40%,10%,10%,3%,6%,9%,7–9 Aug 2012,2012-08-09
7–8 Aug,YouGov/The Sun,1715,33%,42%,11%,6%,2%,6% BNP on 1%,9%,7–8 Aug 2012,2012-08-08
6–7 Aug,YouGov/The Sun,1733,33%,44%,9%,8%,2%,5% BNP on 1%,11%,6–7 Aug 2012,2012-08-07
5–6 Aug,YouGov/The Sun,1738,34%,44%,10%,6%,2%,4% BNP on 1%,10%,5–6 Aug 2012,2012-08-06
2–3 Aug,YouGov/The Sunday Times,1787,32%,44%,10%,8%,2%,4%,12%,2–3 Aug 2012,2012-08-03
1–2 Aug,YouGov/The Sun,1654,33%,44%,8%,9%,2%,3% BNP on 0%,11%,1–2 Aug 2012,2012-08-02
31 Jul-1 Aug,YouGov/The Sun,1744,32%,43%,10%,8%,2%,5% BNP on 1%,11%,31 Jul-1 Aug 2012,2012-08-01
30–31 Jul,YouGov/The Sun,1704,34%,42%,10%,6%,2%,5% BNP on 1%,8%,30–31 Jul 2012,2012-07-31
29–30 Jul,YouGov/The Sun,1736,33%,44%,9%,7%,2%,5% BNP on 2%,11%,29–30 Jul 2012,2012-07-30
26–27 Jul,YouGov/The Sunday Times,1751,33%,42%,9%,8%,3%,5%,9%,26–27 Jul 2012,2012-07-27
25–26 Jul,YouGov/The Sun,1702,33%,42%,9%,7%,3%,5% BNP on 1%,9%,25–26 Jul 2012,2012-07-26
24–25 Jul,YouGov/The Sun,1766,33%,44%,9%,7%,2%,6% BNP on 1%,11%,24–25 Jul 2012,2012-07-25
23–24 Jul,YouGov/The Sun,1745,33%,44%,9%,7%,3%,4% BNP on 1%,11%,23–24 Jul 2012,2012-07-24
22–23 Jul,YouGov/The Sun,1730,33%,43%,9%,8%,1%,6% BNP on 1%,10%,22–23 Jul 2012,2012-07-23
19–20 Jul,YouGov/The Sunday Times,1617,34%,43%,11%,7%,3%,3%,9%,19–20 Jul 2012,2012-07-20
18–19 Jul,YouGov/The Sun,1658,34%,42%,9%,7%,2%,4% BNP on 1%,8%,18–19 Jul 2012,2012-07-19
17–18 Jul,YouGov/The Sun,1774,33%,43%,8%,7%,2%,7% BNP on 1%,10%,17–18 Jul 2012,2012-07-18
16–17 Jul,YouGov/The Sun,1690,34%,43%,8%,7%,2%,5% BNP on 1%,9%,16–17 Jul 2012,2012-07-17
15–16 Jul,YouGov/The Sun,1724,33%,44%,9%,8%,2%,5% BNP on 1%,11%,15–16 Jul 2012,2012-07-16
14–16 Jul,Ipsos MORI/Evening Standard,1006,31%,44%,12%,5%,3%,5%,13%,14–16 Jul 2012,2012-07-16
13–16 Jul,Opinium,1951,32%,41%,9%,8%,4%,6%,9%,13–16 Jul 2012,2012-07-16
12–13 Jul,YouGov/The Sunday Times,1752,34%,43%,9%,7%,3%,5%,9%,12–13 Jul 2012,2012-07-13
11–12 Jul,YouGov/The Sun,1759,34%,42%,9%,7%,3%,5% BNP on 1%,8%,11–12 Jul 2012,2012-07-12
10–11 Jul,YouGov/The Sun,1696,35%,42%,9%,8%,2%,5% BNP on 1%,7%,10–11 Jul 2012,2012-07-11
9–10 Jul,YouGov/The Sun,1697,33%,43%,11%,6%,3%,4% BNP on 1%,10%,9–10 Jul 2012,2012-07-10
8–9 Jul,YouGov/The Sun,1721,35%,44%,7%,6%,3%,5% BNP on 0%,9%,8–9 Jul 2012,2012-07-09
5–6 Jul,YouGov/The Sunday Times,1712,32%,43%,8%,8%,3%,5%,11%,5–6 Jul 2012,2012-07-06
4–5 Jul,YouGov/The Sun,1762,35%,43%,8%,8%,2%,5% BNP on 1%,8%,4–5 Jul 2012,2012-07-05
3–5 Jul,Opinium,1956,30%,40%,9%,9%,4%,8%,10%,3–5 Jul 2012,2012-07-05
3–4 Jul,YouGov/The Sun,1761,33%,44%,8%,7%,3%,5% BNP on 1%,11%,3–4 Jul 2012,2012-07-04
2–3 Jul,YouGov/The Sun,1730,35%,42%,10%,7%,2%,4% BNP on 1%,7%,2–3 Jul 2012,2012-07-03
1–2 Jul,YouGov/The Sun,1748,34%,44%,8%,8%,2%,5% BNP on 1%,10%,1–2 Jul 2012,2012-07-02
28–29 Jun,YouGov/The Sunday Times,1760,34%,43%,9%,6%,2%,5%,9%,28–29 Jun 2012,2012-06-29
27–28 Jun,YouGov/The Sun,1764,32%,43%,10%,7%,3%,5% BNP on 1%,11%,27–28 Jun 2012,2012-06-28
26–28 Jun,Opinium,1959,31%,42%,8%,9%,4%,6%,11%,26–28 Jun 2012,2012-06-28
26–27 Jun,YouGov/The Sun,1751,31%,45%,9%,7%,2%,5% BNP on 1%,14%,26–27 Jun 2012,2012-06-27
25–26 Jun,YouGov/The Sun,1614,34%,42%,11%,7%,2%,5% BNP on 1%,8%,25–26 Jun 2012,2012-06-26
24–25 Jun,YouGov/The Sun,1697,32%,43%,11%,7%,1%,5% BNP on 1%,11%,24–25 Jun 2012,2012-06-25
22–24 Jun,ICM/The Guardian[17],1002,34%,39%,14%,3%,3%,7%,5%,22–24 Jun 2012,2012-06-24
21–22 Jun,YouGov/The Sunday Times,1734,34%,43%,9%,8%,2%,5%,9%,21–22 Jun 2012,2012-06-22
20–21 Jun,YouGov/The Sun,1642,33%,43%,8%,8%,2%,5% BNP on 1%,10%,20–21 Jun 2012,2012-06-21
19–20 Jun,YouGov/The Sun,1752,34%,41%,10%,8%,3%,5% BNP on 1%,7%,19–20 Jun 2012,2012-06-20
18–19 Jun,YouGov/The Sun,1727,34%,44%,7%,6%,2%,6% BNP on 1%,10%,18–19 Jun 2012,2012-06-19
17–18 Jun,YouGov/The Sun,1716,33%,44%,7%,8%,2%,6% BNP on 1%,11%,17–18 Jun 2012,2012-06-18
15–17 Jun,Populus/The Times[18],1503,33%,41%,9%,5%,5%,7%,8%,15–17 Jun 2012,2012-06-17
14–15 Jun,YouGov/The Sunday Times,1761,32%,44%,9%,8%,3%,5%,12%,14–15 Jun 2012,2012-06-15
13–15 Jun,ComRes/Independent on Sunday; Sunday Mirror[permanent dead link‍],2014,32%,42%,9%,8%,3%,6%,10%,13–15 Jun 2012,2012-06-15
13–14 Jun,YouGov/The Sun,1711,31%,43%,9%,8%,3%,6% BNP on 2%,12%,13–14 Jun 2012,2012-06-14
12–13 Jun,YouGov/The Sun,1675,31%,43%,9%,9%,2%,6% BNP on 1%,12%,12–13 Jun 2012,2012-06-13
11–12 Jun,YouGov/The Sun,1699,33%,43%,8%,8%,3%,5% BNP on 1%,10%,11–12 Jun 2012,2012-06-12
10–11 Jun,YouGov/The Sun,1763,31%,45%,9%,9%,3%,6% BNP on 2%,14%,10–11 Jun 2012,2012-06-11
9–11 Jun,Ipsos MORI/Evening Standard,1016,31%,40%,10%,6%,5%,8%,9%,9–11 Jun 2012,2012-06-11
8–11 Jun,Opinium,1962,31%,42%,9%,8%,4%,6%,11%,8–11 Jun 2012,2012-06-11
7–8 Jun,YouGov/The Sunday Times,1667,34%,42%,7%,9%,3%,5%,8%,7–8 Jun 2012,2012-06-08
6–7 Jun,YouGov/The Sun,1827,34%,43%,8%,6%,3%,6% BNP on 1%,9%,6–7 Jun 2012,2012-06-07
5–6 Jun,YouGov/The Sun,1766,34%,43%,8%,7%,3%,5% BNP on 1%,9%,5–6 Jun 2012,2012-06-06
31 May–1 Jun,YouGov/The Sunday Times,1546,32%,42%,8%,7%,4%,5%,10%,31 May–1 Jun 2012,2012-06-01
30–31 May,YouGov/The Sun,1694,31%,45%,9%,8%,3%,5% BNP on 1%,14%,30–31 May 2012,2012-05-31
29–30 May,Angus Reid Public Opinion[usurped],2005,29%,45%,9%,8%,3%,6%,16%,29–30 May 2012,2012-05-30
29–30 May,YouGov/The Sun,1670,32%,44%,9%,7%,3%,6% BNP on 1%,12%,29–30 May 2012,2012-05-30
28–29 May,YouGov/The Sun,1670,32%,45%,8%,8%,2%,5% BNP on 1%,13%,28–29 May 2012,2012-05-29
27–28 May,YouGov/The Sun,1743,33%,44%,8%,7%,3%,5% BNP on 1%,11%,27–28 May 2012,2012-05-28
25–28 May,ComRes/The Independent[permanent dead link‍],1001,34%,42%,11%,4%,3%,9%,8%,25–28 May 2012,2012-05-28
24–25 May,YouGov/The Sunday Times,1640,31%,43%,8%,8%,3%,6%,12%,24–25 May 2012,2012-05-25
23–24 May,YouGov/The Sun,1681,34%,42%,8%,7%,4%,5% BNP on 1%,8%,23–24 May 2012,2012-05-24
22–23 May,YouGov/The Sun,1682,32%,42%,9%,9%,3%,5% BNP on 1%,10%,22–23 May 2012,2012-05-23
21–22 May,YouGov/The Sun,1727,32%,43%,8%,9%,3%,5% BNP on 1%,11%,21–22 May 2012,2012-05-22
20–21 May,YouGov/The Sun,1705,32%,44%,7%,8%,3%,5% BNP on 1%,12%,20–21 May 2012,2012-05-21
18–20 May,Populus/The Times[18],1500,33%,41%,10%,5%,3%,10%,8%,18–20 May 2012,2012-05-20
18–20 May,ICM/The Guardian[17],1002,36%,41%,11%,4%,3%,6%,5%,18–20 May 2012,2012-05-20
17–18 May,YouGov/The Sunday Times,1683,32%,43%,8%,9%,2%,6%,11%,17–18 May 2012,2012-05-18
16–17 May,ComRes/Independent on Sunday; Sunday Mirror[permanent dead link‍],2038,32%,41%,11%,7%,3%,6%,9%,16–17 May 2012,2012-05-17
16–17 May,YouGov/The Sun,1757,31%,44%,7%,9%,3%,6% BNP on 1%,13%,16–17 May 2012,2012-05-17
15–17 May,Opinium,1957,30%,41%,9%,10%,3%,7%,11%,15–17 May 2012,2012-05-17
15–16 May,YouGov/The Sun,1751,31%,45%,9%,8%,2%,5% BNP on 1%,14%,15–16 May 2012,2012-05-16
14–15 May,YouGov/The Sun,1692,32%,43%,8%,9%,3%,5% BNP on 1%,11%,14–15 May 2012,2012-05-15
13–14 May,YouGov/The Sun,1720,31%,45%,7%,8%,3%,5% BNP on 1%,14%,13–14 May 2012,2012-05-14
12–14 May,Ipsos MORI/Evening Standard,1006,33%,43%,9%,6%,3%,7%,10%,12–14 May 2012,2012-05-14
10–11 May,YouGov/The Sunday Times,1663,31%,43%,10%,8%,2%,7%,12%,10–11 May 2012,2012-05-11
9–10 May,YouGov/The Sun,1825,34%,44%,7%,7%,3%,5% BNP on 0%,10%,9–10 May 2012,2012-05-10
8–9 May,YouGov/The Sun,1708,31%,44%,9%,8%,3%,6% BNP on 1%,13%,8–9 May 2012,2012-05-09
7–8 May,YouGov/The Sun,1658,31%,44%,8%,8%,3%,6% BNP on 1%,13%,7–8 May 2012,2012-05-08
5–7 May,TNS-BMRB Archived 10 February 2019 at the Wayback Machine,1207,30%,43%,10%,4%,13%,13%,13%,5–7 May 2012,2012-05-07
3–4 May,YouGov/The Sunday Times,1798,31%,43%,9%,8%,3%,6%,12%,3–4 May 2012,2012-05-04
3 May,2012 United Kingdom local elections,2012 United Kingdom local elections,2012 United Kingdom local elections,2012 United Kingdom local elections,2012 United Kingdom local elections,2012 United Kingdom local elections,2012 United Kingdom local elections,2012 United Kingdom local elections,2012 United Kingdom local elections,3 May 2012,2012-05-03
2–3 May,YouGov/The Sun,1745,32%,41%,9%,9%,4%,5% BNP on 1%,9%,2–3 May 2012,2012-05-03
1–2 May,YouGov/The Sun,1749,33%,43%,8%,8%,3%,5% BNP on 1%,10%,1–2 May 2012,2012-05-02
30 Apr–1 May,YouGov/The Sun,1744,32%,41%,9%,8%,4%,6% BNP on 1%,9%,30 Apr–1 May 2012,2012-05-01
29–30 Apr,YouGov/The Sun,1763,35%,42%,8%,7%,2%,6% BNP on 1%,7%,29–30 Apr 2012,2012-04-30
27–30 Apr,Opinium,1769,32%,39%,8%,10%,4%,7%,7%,27–30 Apr 2012,2012-04-30
26–27 Apr,YouGov/The Sunday Times,1717,29%,40%,11%,10%,3%,7%,11%,26–27 Apr 2012,2012-04-27
25–27 Apr,ComRes/The Independent,2048,34%,39%,10%,9%,2%,6%,5%,25–27 Apr 2012,2012-04-27
25–26 Apr,YouGov/The Sun,1717,31%,43%,9%,9%,2%,7% BNP on 2%,12%,25–26 Apr 2012,2012-04-26
24–25 Apr,YouGov/The Sun,1817,32%,43%,9%,8%,3%,5% BNP on 1%,11%,24–25 Apr 2012,2012-04-25
23–24 Apr,YouGov/The Sun,1787,32%,43%,8%,8%,3%,5% BNP on 1%,11%,23–24 Apr 2012,2012-04-24
22–23 Apr,YouGov/The Sun,1651,32%,45%,8%,7%,3%,5% BNP on 1%,13%,22–23 Apr 2012,2012-04-23
21–23 Apr,Ipsos MORI/Evening Standard,1002,35%,38%,12%,4%,4%,7%,3%,21–23 Apr 2012,2012-04-23
20–23 Apr,Opinium,2233,31%,38%,11%,8%,4%,8%,7%,20–23 Apr 2012,2012-04-23
20–22 Apr,ICM/The Guardian[17],1000,33%,41%,15%,3%,2%,7%,8%,20–22 Apr 2012,2012-04-22
19–20 Apr,YouGov/The Sunday Times,1715,33%,41%,11%,8%,2%,5%,8%,19–20 Apr 2012,2012-04-20
18–19 Apr,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2048,34%,40%,11%,6%,3%,5%,6%,18–19 Apr 2012,2012-04-19
18–19 Apr,YouGov/The Sun,1722,32%,45%,8%,7%,3%,6% BNP on 1%,13%,18–19 Apr 2012,2012-04-19
17–18 Apr,YouGov/The Sun,1745,32%,41%,10%,8%,2%,6% BNP on 1%,9%,17–18 Apr 2012,2012-04-18
16–17 Apr,YouGov/The Sun,1799,32%,41%,8%,9%,3%,7% BNP on 1%,9%,16–17 Apr 2012,2012-04-17
15–16 Apr,YouGov/The Sun,1783,32%,43%,8%,9%,2%,6% BNP on 1%,11%,15–16 Apr 2012,2012-04-16
13–16 Apr,Opinium,1957,32%,37%,9%,10%,4%,8%,5%,13–16 Apr 2012,2012-04-16
13–15 Apr,Populus/The Times[18],1003,33%,42%,11%,4%,3%,9%,9%,13–15 Apr 2012,2012-04-15
12–13 Apr,Angus Reid Public Opinion[usurped],2010,29%,41%,11%,8%,3%,8%,12%,12–13 Apr 2012,2012-04-13
12–13 Apr,YouGov/The Sunday Times,1650,33%,39%,10%,7%,2%,8%,6%,12–13 Apr 2012,2012-04-13
11–12 Apr,YouGov/The Sun,1686,35%,41%,9%,7%,3%,6% BNP on 1%,6%,11–12 Apr 2012,2012-04-12
11 Apr,TNS-BMRB Archived 16 March 2015 at the Wayback Machine,TBC,32%,42%,10%,9%,7%,7%,10%,11 Apr 2012,2012-04-11
10–11 Apr,YouGov/The Sun,1727,35%,41%,8%,6%,3%,7% BNP on 2%,6%,10–11 Apr 2012,2012-04-11
9–10 Apr,YouGov/The Sun,1661,36%,40%,9%,6%,2%,7% BNP on 1%,4%,9–10 Apr 2012,2012-04-10
4–5 Apr,YouGov/The Sun,1744,33%,42%,8%,7%,3%,7% BNP on 2%,9%,4–5 Apr 2012,2012-04-05
3–4 Apr,YouGov/The Sun,1742,32%,42%,9%,8%,3%,6% BNP on 1%,10%,3–4 Apr 2012,2012-04-04
2–3 Apr,YouGov/The Sun,1744,34%,42%,8%,6%,2%,7% BNP on 1%,8%,2–3 Apr 2012,2012-04-03
1–2 Apr,YouGov/The Sun,1732,33%,43%,8%,6%,3%,7% BNP on 1%,10%,1–2 Apr 2012,2012-04-02
30–31 Mar,YouGov/The Sunday Times,1567,33%,42%,8%,7%,3%,7%,9%,30–31 Mar 2012,2012-03-31
29 Mar,2012 Bradford West by-election,2012 Bradford West by-election,2012 Bradford West by-election,2012 Bradford West by-election,2012 Bradford West by-election,2012 Bradford West by-election,2012 Bradford West by-election,2012 Bradford West by-election,2012 Bradford West by-election,29 Mar 2012,2012-03-29
28–29 Mar,YouGov/The Sun,1701,34%,44%,8%,5%,2%,7% BNP on 2%,10%,28–29 Mar 2012,2012-03-29
27–28 Mar,YouGov/The Sun,1807,34%,44%,10%,6%,2%,5% BNP on 1%,10%,27–28 Mar 2012,2012-03-28
26–27 Mar,YouGov/The Sun,1682,33%,43%,9%,7%,2%,6% BNP on 1%,10%,26–27 Mar 2012,2012-03-27
25–26 Mar,YouGov/The Sun,1734,35%,42%,9%,6%,3%,5% BNP on 1%,7%,25–26 Mar 2012,2012-03-26
23–26 Mar,ComRes/The Independent[permanent dead link‍],1010,33%,43%,11%,3%,10%,10%,10%,23–26 Mar 2012,2012-03-26
23–25 Mar,Populus/The Times[18],1500,34%,38%,11%,4%,5%,8%,4%,23–25 Mar 2012,2012-03-25
22–23 Mar,YouGov/The Sunday Times,1721,35%,42%,10%,6%,2%,6%,7%,22–23 Mar 2012,2012-03-23
22–23 Mar,ICM/Sunday Telegraph[17],1000,37%,38%,13%,4%,5%,4%,1%,22–23 Mar 2012,2012-03-23
21–23 Mar,Opinium,1957,34%,39%,8%,9%,3%,7%,5%,21–23 Mar 2012,2012-03-23
21–22 Mar,YouGov/The Sun,1835,34%,42%,9%,6%,2%,6% BNP on 1%,8%,21–22 Mar 2012,2012-03-22
20–21 Mar,YouGov/The Sun,1757,36%,41%,10%,5%,2%,6% BNP on 2%,5%,20–21 Mar 2012,2012-03-21
19–20 Mar,YouGov/The Sun,1748,35%,43%,9%,4%,2%,5% BNP on 1%,8%,19–20 Mar 2012,2012-03-20
18–19 Mar,YouGov/The Sun,1685,36%,42%,9%,5%,2%,6% BNP on 1%,6%,18–19 Mar 2012,2012-03-19
17–19 Mar,Ipsos MORI/Evening Standard,1014,35%,38%,12%,3%,5%,7%,3%,17–19 Mar 2012,2012-03-19
16–18 Mar,ICM/The Guardian[17],1000,39%,36%,15%,1%,2%,7%,2%,16–18 Mar 2012,2012-03-18
15–16 Mar,YouGov/The Sunday Times,1727,38%,40%,9%,5%,3%,6%,2%,15–16 Mar 2012,2012-03-16
14–15 Mar,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2010,37%,40%,10%,6%,3%,4%,3%,14–15 Mar 2012,2012-03-15
14–15 Mar,YouGov/The Sun,1741,37%,42%,8%,5%,3%,5% BNP on 1%,5%,14–15 Mar 2012,2012-03-15
13–14 Mar,YouGov/The Sun,1738,38%,41%,9%,5%,3%,4% BNP on 1%,3%,13–14 Mar 2012,2012-03-14
12–13 Mar,YouGov/The Sun,1747,36%,43%,9%,5%,2%,5% BNP on 1%,7%,12–13 Mar 2012,2012-03-13
11–12 Mar,YouGov/The Sun,1801,36%,41%,9%,6%,2%,6% BNP on 1%,5%,11–12 Mar 2012,2012-03-12
9–12 Mar,Opinium,1955,38%,36%,10%,7%,3%,6%,2%,9–12 Mar 2012,2012-03-12
8–9 Mar,YouGov/The Sunday Times,1707,37%,42%,9%,5%,2%,5%,5%,8–9 Mar 2012,2012-03-09
7–8 Mar,YouGov/The Sun,1730,37%,42%,8%,4%,3%,5% BNP on 1%,5%,7–8 Mar 2012,2012-03-08
6–7 Mar,Angus Reid Public Opinion[usurped],2018,32%,40%,10%,7%,2%,9%,8%,6–7 Mar 2012,2012-03-07
6–7 Mar,YouGov/The Sun,1723,38%,41%,9%,6%,2%,4% BNP on 1%,3%,6–7 Mar 2012,2012-03-07
5–6 Mar,YouGov/The Sun,1736,37%,41%,9%,6%,3%,4% BNP on 1%,4%,5–6 Mar 2012,2012-03-06
4–5 Mar,YouGov/The Sun,1729,36%,41%,11%,5%,3%,5% BNP on 1%,5%,4–5 Mar 2012,2012-03-05
2–5 Mar,TNS-BMRB[permanent dead link‍],1198,35%,38%,11%,8%,8%,8%,3%,2–5 Mar 2012,2012-03-05
1–2 Mar,YouGov/The Sunday Times,1664,40%,39%,9%,5%,2%,5%,1%,1–2 Mar 2012,2012-03-02
29 Feb–1 Mar,YouGov/The Sun,1787,39%,39%,8%,5%,3%,6% BNP on 1%,Tie,29 Feb–1 Mar 2012,2012-03-01
28–29 Feb,YouGov/The Sun,1778,38%,40%,9%,5%,2%,6% BNP on 1%,2%,28–29 Feb 2012,2012-02-29
27–28 Feb,YouGov/The Sun,1729,40%,39%,9%,5%,2%,5% BNP on 1%,1%,27–28 Feb 2012,2012-02-28
26–27 Feb,YouGov/The Sun,1741,38%,40%,9%,6%,2%,5% BNP on 1%,2%,26–27 Feb 2012,2012-02-27
25–27 Feb,Ipsos MORI/Reuters,1002,35%,41%,12%,2%,4%,6%,6%,25–27 Feb 2012,2012-02-27
24–26 Feb,ComRes/The Independent[permanent dead link‍],1001,37%,40%,13%,3%,3%,4%,3%,24–26 Feb 2012,2012-02-26
23–24 Feb,YouGov/The Sunday Times,1697,38%,40%,10%,5%,2%,5%,2%,23–24 Feb 2012,2012-02-24
22–23 Feb,YouGov/The Sun,1690,39%,38%,10%,4%,3%,7% BNP on 2%,1%,22–23 Feb 2012,2012-02-23
21–23 Feb,Opinium,1959,35%,39%,10%,6%,5%,6%,4%,21–23 Feb 2012,2012-02-23
21–22 Feb,YouGov/The Sun,1731,38%,40%,8%,5%,3%,7% BNP on 1%,2%,21–22 Feb 2012,2012-02-22
20–21 Feb,YouGov/The Sun,1715,37%,41%,9%,5%,2%,6% BNP on 2%,4%,20–21 Feb 2012,2012-02-21
19–20 Feb,YouGov/The Sun,1764,39%,38%,10%,5%,2%,6% BNP on 1%,1%,19–20 Feb 2012,2012-02-20
17–19 Feb,ICM/The Guardian[permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][17],1013,36%,37%,14%,3%,3%,7%,1%,17–19 Feb 2012,2012-02-19
16–17 Feb,YouGov/The Sunday Times,1772,37%,41%,7%,6%,3%,6%,4%,16–17 Feb 2012,2012-02-17
15–16 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2014,39%,38%,10%,5%,3%,5%,1%,15–16 Feb 2012,2012-02-16
15–16 Feb,YouGov/The Sun,1738,39%,39%,9%,5%,3%,5% BNP on 1%,Tie,15–16 Feb 2012,2012-02-16
14–15 Feb,YouGov/The Sun,1828,39%,40%,9%,5%,2%,5% BNP on 1%,1%,14–15 Feb 2012,2012-02-15
13–14 Feb,YouGov/The Sun,1725,40%,39%,9%,5%,3%,5% BNP on 1%,1%,13–14 Feb 2012,2012-02-14
12–13 Feb,YouGov/The Sun,1772,38%,42%,9%,4%,2%,5% BNP on 1%,4%,12–13 Feb 2012,2012-02-13
